time	V(vrec)
9.298997456276071e-005	5.719108e+002
9.299079639554463e-005	5.719069e+002
9.299244006111250e-005	5.718984e+002
9.299572739224824e-005	5.718766e+002
9.300230205451970e-005	5.717931e+002
9.301545137906263e-005	5.703594e+002
9.304175002814850e-005	5.635382e+002
9.304257186093242e-005	5.628090e+002
9.304421552650029e-005	5.595766e+002
9.304750285763603e-005	5.497491e+002
9.304832469041996e-005	5.457615e+002
9.304853014861595e-005	5.441774e+002
9.304894106500791e-005	5.401415e+002
9.304904379410590e-005	5.388480e+002
9.304924925230189e-005	5.356313e+002
9.304930061685088e-005	5.346178e+002
9.304940334594887e-005	5.320757e+002
9.304942902822337e-005	5.312529e+002
9.304948039277237e-005	5.291957e+002
9.304949323390962e-005	5.285062e+002
9.304951891618412e-005	5.266638e+002
9.304952533675275e-005	5.260222e+002
9.304952694189490e-005	5.258069e+002
9.304953015217921e-005	5.252959e+002
9.304953095475028e-005	5.251292e+002
9.304953255989244e-005	5.247095e+002
9.304953296117798e-005	5.245601e+002
9.304953376374906e-005	5.241553e+002
9.304953378882941e-005	5.241329e+002
9.304953383899010e-005	5.240656e+002
9.304953393931149e-005	5.238925e+002
9.304953394244653e-005	5.238635e+002
9.304953394323028e-005	4.513192e+002
9.304953394479781e-005	8.623074e+001
9.304953394484679e-005	6.999021e+001
9.304953394485904e-005	6.530579e+001
9.304953394488353e-005	5.599280e+001
9.304953394493251e-005	4.672816e+001
9.304965894493251e-005	4.018678e+002
9.304978394493251e-005	5.551102e+002
9.305078394493251e-005	6.197716e+002
9.305103394493252e-005	6.200548e+002
9.305109644493251e-005	6.200968e+002
9.305197144493251e-005	6.203777e+002
9.305297144493252e-005	6.205900e+002
9.305497144493252e-005	6.208621e+002
9.305897144493251e-005	6.211243e+002
9.306697144493252e-005	6.212679e+002
9.308297144493251e-005	6.212967e+002
9.311497144493252e-005	6.212955e+002
9.317897144493252e-005	6.212930e+002
9.330697144493252e-005	6.212882e+002
9.345087918922740e-005	6.212827e+002
9.821189588102120e-005	6.210724e+002
9.832272200819325e-005	6.210667e+002
9.843354813536530e-005	6.210609e+002
9.854437426253735e-005	6.210551e+002
9.865520038970939e-005	6.210492e+002
9.876602651688145e-005	6.210433e+002
9.887685264405350e-005	6.210374e+002
9.898767877122555e-005	6.210314e+002
9.901427704174684e-005	6.210299e+002
9.904974140244190e-005	6.210280e+002
9.905306618625707e-005	6.210278e+002
9.905749923134395e-005	6.210276e+002
9.906636532151771e-005	6.210271e+002
9.908409750186524e-005	6.210261e+002
9.908465163250109e-005	6.210261e+002
9.908575989377282e-005	6.210260e+002
9.908797641631626e-005	6.210259e+002
9.909240946140314e-005	6.210256e+002
9.910127555157690e-005	6.210251e+002
9.911900773192443e-005	6.210242e+002
9.913663456093058e-005	6.210233e+002
9.914810911799512e-005	6.210226e+002
9.915897796126309e-005	6.210220e+002
9.916940261793931e-005	6.210214e+002
9.918592915924033e-005	6.210205e+002
9.920633683735158e-005	6.210194e+002
9.923909661983287e-005	6.210176e+002
9.930103305199723e-005	6.210141e+002
9.936710173090026e-005	6.210104e+002
9.942705206174137e-005	6.210071e+002
9.953275257007581e-005	6.210011e+002
9.974415358674465e-005	6.209890e+002
9.979700384091186e-005	6.209859e+002
9.990270434924629e-005	6.209797e+002
9.992912947632990e-005	6.209782e+002
9.998197973049711e-005	6.209751e+002
9.999519229403891e-005	6.209743e+002
1.000216174211225e-004	6.209728e+002
1.000744676752897e-004	6.209696e+002
1.000765403828554e-004	6.209695e+002
1.000770585597468e-004	6.209695e+002
1.000780949135296e-004	6.209694e+002
1.000801676210952e-004	6.209693e+002
1.000843130362265e-004	6.209691e+002
1.000884333226380e-004	6.209688e+002
1.000966738954610e-004	6.209683e+002
1.001056205465409e-004	6.209678e+002
1.001235138487006e-004	6.209667e+002
1.001593004530202e-004	6.209646e+002
1.002308736616594e-004	6.209603e+002
1.002331103244293e-004	6.209601e+002
